;"ANEXO 6.2 - INSTRUÇÃO PARA DESCRIÇÃO DA NÃO-CONFORMIDADE
A descrição da não-conformidade deve conter as seguintes informações:
1- Informações do Produto não-conforme (Nome, PN, N/S, Lote,OC, Qtde,..);
2 - Localização da não-conformidade;
3 - Especificação de Projeto (Valores especificados em desenhos e/ou Normas de Engenharia);
4 - Detalhamento da não-conformidade (Valores/dimensões encontradas);
5 - Participantes da Análise Preliminar (Nesse campo deve ser reprotado o nome completo do participante e sua respectiva área de atuação)
OBS: Válido para todas as Tecnologias (Ex: Usinagem, Interiores, Estruturas, Equipamentos, etc).";;;"Emprego de fotos ou croquis usando o GBI. 
R = Requerido 
O = Opcional 
O(*) = Classificação igual Fornecedor ou não-conformidades entre sites é requerido anexar fotos para problemas que afetam o aspecto visual  e croquis para desvios dimensionais. Em caso de problemas funcionais (exemplo: atrito, vazamento, ruído, etc) anexar vídeo para melhor visualização / entendimento do problema.
N/A = Não-aplicável ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Falta torque ou torque solto;"1) Informar sigla do conector.
2) Informar detalhes da etapa e local onde foi encontrado a falta de torque conector (Exemplo: recebimento, produção, equipagem, entrega, etc.);
3)  Evidenciar com foto o posicionador do torque desalinhado";Doc.Emb 3824;R;R;R;CPROB01-0010 ;Evidenciar o indicador de torque  branco desalinhado ou a falta do lacre e evidenciar se o componente está instalado.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Componentes  danificados;"1) Informar detalhes da etapa e local onde foi encontrado o dano do conector (Exemplo: recebimento, produção, equipagem, entrega, etc.);
2) Informar sigla elétrica do conector;*
3) Informar a data de manufatura ou o lote, caso o SN não seja aplicável ao PN;
4) Identificar se conector já foi montado previamente ou não antes da detecção da falha;
5) Anexar fotos dos pinos ou cavidades do conector danificado, indicando a região afetada;
6) Evidenciar através de fotos que não existe marca de instalação no conector.
*especifico para Fabricação da Cablagem
";N/A ;R;R;R;CPROB06-0005 ;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Configuração não-conforme ;"1) Informar qual a configuração de projeto; (p/n, foto do 
material); 
2) Informar qual a configuração atual; (p/n , foto do material); ";N/A ;O;R;O(*) ;CPROB03-0005 ;Obrigatório emprego de fotos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Curto circuito ;"1) Sigla do componente e LOTE do Modulo ou Cablagem (Ex:conector, modulo, 
chave, relê, etc); 
2) Informar se o fio está danificado (esmagado, 
cortado, etc);";N/A ;R;R;R;CPROB08-0015 ;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Degrau ;"1) Especificação de Projeto;
2) Valor do degrau encontrado; 
3) Dimensionamento da região discrepante (Ex: comprimento X Largura etc);
4) Localização do defeito;
5) Espessura adjacente;
6) Caso existir furos de fixação, reportar o diâmetro dos mesmos, 
7) Prendedor de projeto e passo e bordas mínimas;
8) Informar se na região do degrau existe próxima montagem;";"NE03-071 
NE 20-038 
 (Item 8.2) 
NE03-063 
NE03-007
";R;R;R;CPROB11-0010 ;"No ambiente de fabricação: Material Composto, Usinagem, Estamparia e Trat. Superfície, devem ser informados no campo ""Detalhamento da Não-Conformidade"": 
1) A causa do degrau; (Ex.: Excesso/ falta de resina, excesso/falta de camada, excesso/falta de compactação das camadas,..);
2) Reportar se haverá problemas na próxima montagem (Informação opcional) - Solicitar apoio do Sustaining local.
3) Reportar se afeta superfície aerodinâmica (se sim, utilizar convenção dos sinais da norma do respectivo programa)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Delaminação ;"1) Dimensionar o local delaminado (comprimento x largura); 
2) Relatar o motivo da delaminação; 
3) Espessura do local;
4) Informar prendedores, passo e borda caso necessário;
5) Número de camadas afetadas (Nota: Se usado ensaios NDT deve ser informado a profundidade do dano)*;
6)  Localização da delaminação (Interno ou Externo na peça)*;
7) Mapeamento próxima montagem*
* Aplicavel No ambiente de fabricação: Material Composto
";"NE 20-038
 NE 07-11
NE 20-032
(Composto)";R;R;R;CPROB06-0020 ;Obrigatório emprego de fotos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Desalinhamento / Deslocamento / Posicionamento incorreto ;"1) Especificar qual o desalinhamento encontrado (entre quais peças, informando o PN);
2) Incluir foto indicando o desalinhamento, com o dimensional encontrado, comparando com a especificação;
3) Em caso de furo, valor do deslocamento;
4) Distância de borda (se aplicável);
5) Diâmetro do furo (se aplicável);
6) Reportar se haverá problemas nas próximas montagens (opcional) - Socilitar apoio a Eng. Manufatura local.";N/A ;O(*) ;R;O(*) ;CPR0B11-0015 ;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Descascamento (Pintura);"1) Dimensionar o local com pintura descascada (comprimento x largura); 
";"Doc.EMB 1755 
(Tabela 5) ";O(*) ;R;O(*) ;CPROB13-0040 ;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Descolamento ;"1) Dimensão do dano: Largura x Comprimento
2) Onde ocorreu o descolamento (Ex.: Colméia/Colméia; Colméia/Laminado; entre outros);
3) Informar o método utilizado na detecção (Ex.: visual, ultra-som e tap test).
4) Informar posição de projeto e valor do deslocamento/desalimhamento tal como o sentido do deslocamento;
5) Para casos de posição é preciso avaliar a proxima montagem pois este deslocamento pode gerar atrito ou GAP acima do especificado;
6) Para estes casos é necessário avaliar possíveis impactos na próxima montagem Ex: borda, afeta furação ou instalação de outro produto
7) Borda informar borda de projeto e valor encontrado, verificar próxima montagem caso seja identificada furação reportar diâmetro do furos, quantidade de furos afetados e prendedores de projeto;
";"NE 20-038 
(Item 8.6)";R;R;R;"CPROB06-0025 
";Obrigatório Emprego de Fotos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Diâmetro incorreto ;"1) Valor do furo conforme projeto; 
2) Valor do furo encontrado (realizar medição em 03 pontos e no comprimento do furo, indicando ovalização / conicidade); 
3) Distância de passo e borda;
4) Prendedor de projeto; 
5) Espessura do revestimento (quando aplicável);
6) Avaliar e reportar  próxima montagem (folga ou excesso de material)*;
* Aplicavél para composto";"NE03-006 
NE03-071 
NE03-063 
NE03-007";O(*) ;R;O(*) ;CPROB09-0035 ;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
